,text,ActualLabel,PredictedLabel
0,"the meeting was about the architecture design of the git lab's new dss project. the group first discussed the design of an architecture design document that would cover the future of the dss. they discussed how they could further improve the current architecture. the meeting ended with a general discussion about future work on the project, including future directions for the project and future work in general. the final meeting was focused on future work, including a new project manager's role and the future direction of the project.",architecture,2
1,"the meeting was about the weekly sync for the new diffs project. the team was working on an architecture workflow for the architecture. the professor thought that they should make the team more efficient by making sure that they would not only focus on the architecture, but also on the design of the interface and the interface design. the group also discussed how they could make the project more efficient. the meeting ended with a general discussion about the current status of the project, including the progress of the team's work and future directions.",architecture,2
2,"the meeting was about the performance of the d-goal. the team was reminded that they had to be very careful about the quality of their work. the professor thought that they should make sure that their work was up to standard and that they were doing a good job of it. the group also discussed how they could make their work better. the final meeting ended with a group discussion about the future directions of the project, including the future direction of the team and future work on the project.",architecture,2
3,"this was the second meeting of the new d-goal group. the meeting was about the architecture of the database. first, the group discussed the scroll issues that the team had to deal with. next, they discussed the logistics of adding the blueprint to the documentation. the group also discussed how they could make their database more robust. lastly, the meeting ended with a general discussion about the future of the project, including future work on the database and future thoughts about the team's work in general.",architecture,2
4,"this is the second meeting of the team. the meeting was about a new case management role for case managers. the team first discussed the technical design of the case management interface. the group then discussed how they could make the case manager role more attractive to the young and old people. finally, the meeting ended with a group discussion about the future of the project, which was mainly about the working conditions of the building and future work on the case-management role. the final meeting concluded with a discussion about future project ideas.",HR,2
5,"this meeting was about an investigation into the performance shortfalls in performance of an employee. the group discussed the technical issues that the employee had to deal with, such as having the appropriate tools, equipment, and training. the meeting ended with a general discussion about the future of the project, including future work and future work on the project. the team also discussed how to make sure that the project was up to standard and that the team was making good use of the time they had left over from the last meeting.",HR,2
6,this is a webinar on conducting a disciplinary investigation. the meeting was about the acas code of practice. the team first discussed the legal background to the topics that they were dealing with. they then discussed the logistics of the investigation process. the final point was that the team should be very careful about the quality of their investigations. the group also discussed how they would make sure that the case was dealt with in a fair way. the professor thought that they should be careful about how they dealt with the case.,HR,2
15,this meeting was about technical issues that the team had to deal with within the backdrop project. first the team introduced the technical lead for the backdrop c ms project who was introducing the d two b migration model. next the group discussed technical issues with the d-two b module which was responsible for migration to the database. lastly the meeting ended with a group discussion about the future of the project including future ideas for future work. the group agreed that more work should be done on the background project.,architecture,2
16,this is the first time that the team has hosted a release kickoff at git lab. the meeting was about the glab 16.7 monthly release kickoff for november. first the team discussed the current status of the core platforms group. next the group discussed the future direction of the project including future directions and future work on data science. lastly the meeting ended with a group discussion about the deaf section of the web which was mainly about the improvements in the interface design.,architecture,2
17,the group product manager introduced the product leaders for the sec and data science sections. the team was working on a world-class cops experience with a focus on first class usability and a i powered workflows. they were also working on an interface for the data science section. the meeting ended with a general discussion about the future direction of the project including future work on the cops project and future directions of the c-zero project. the group also discussed the future of the team and their work on c-one and c-two.,architecture,2
18,this meeting was about the logistics of the group meeting. the team was trying to figure out how they could make their group meeting more efficient. the professor suggested that they should make the meeting more interactive and asked the team members to share their knowledge about their work. the meeting ended with a general discussion about the future of the project. the group discussed how they would like to make their meeting more useful. they agreed to make it more interactive by making it more accessible to all members of the team.,architecture,2
19,"the meeting was about the progress of their work on the aurora project. the group discussed aurora's progress and future directions. the professor thought that aurora should create a shared document with some organization to share the work they had done. the team agreed that aurora's performance should be measured against the criteria they had set for aurora, but they were not sure how they could make their work better. the meeting ended with a general discussion about aurora's future directions and future work on aurora's project.",architecture,2
21,"this meeting was about the progress of the team's work on the ds project. the team first discussed the technical matters, then moved onto a discussion about how they would make their work more efficient. the final decision was made that the team should focus on the service side rendering, but the team was not sure what they should do to make it better. finally, the meeting ended with a brief discussion about the future of the project, which was mainly about future work and future thoughts on the project.",architecture,2
