,text,ActualLabel,PredictedLabel
0,"The meeting was about the architecture design of the GIT lab's new DSS project. The group first discussed the design of an architecture design document that would cover the future of the DSS. They discussed how they could further improve the current architecture. The meeting ended with a general discussion about future work on the project, including future directions for the project and future work in general. The final meeting was focused on future work, including a new project manager's role and the future direction of the project.",0,2
1,"The meeting was about the Weekly Sync for the New Diffs project. The team was working on an architecture workflow for the architecture. The professor thought that they should make the team more efficient by making sure that they would not only focus on the architecture, but also on the design of the interface and the interface design. The group also discussed how they could make the project more efficient. The meeting ended with a general discussion about the current status of the project, including the progress of the team's work and future directions.",0,2
2,"The meeting was about the performance of the D-goal. The team was reminded that they had to be very careful about the quality of their work. The professor thought that they should make sure that their work was up to standard and that they were doing a good job of it. The group also discussed how they could make their work better. The final meeting ended with a group discussion about the future directions of the project, including the future direction of the team and future work on the project.",0,2
3,"This was the second meeting of the new D-goal group. The meeting was about the architecture of the database. First, the group discussed the scroll issues that the team had to deal with. Next, they discussed the logistics of adding the blueprint to the documentation. The group also discussed how they could make their database more robust. Lastly, the meeting ended with a general discussion about the future of the project, including future work on the database and future thoughts about the team's work in general.",0,2
4,"This meeting was about two lists of priorities: one for the accessibility and the other for the completeness of the feature. First, the group discussed the order of priorities between the two lists: accessibility and completeness. Then, they talked about the requirements for the future of the project. The group agreed that they should always have accessibility, but they should also be careful about the quality of the product they were working on. Lastly, they discussed the current status of their work on the project and future direction of the work.",0,0
5,"This is the second meeting of the team. The meeting was about a new case management role for case managers. The team first discussed the technical design of the case management interface. The group then discussed how they could make the case manager role more attractive to the young and old people. Finally, the meeting ended with a group discussion about the future of the project, which was mainly about the working conditions of the building and future work on the case-management role. The final meeting concluded with a discussion about future project ideas.",1,0
6,"This meeting was about an investigation into the performance shortfalls in performance of an employee. The group discussed the technical issues that the employee had to deal with, such as having the appropriate tools, equipment, and training. The meeting ended with a general discussion about the future of the project, including future work and future work on the project. The team also discussed how to make sure that the project was up to standard and that the team was making good use of the time they had left over from the last meeting.",1,2
7,This is a webinar on conducting a disciplinary investigation. The meeting was about the ACAS code of practice. The team first discussed the legal background to the topics that they were dealing with. They then discussed the logistics of the investigation process. The final point was that the team should be very careful about the quality of their investigations. The group also discussed how they would make sure that the case was dealt with in a fair way. The professor thought that they should be careful about how they dealt with the case.,1,0
8,"This meeting was about the future of social media. Firstly, the group discussed the current trends in the social media market, including the rise in the use of the internet and the trend-watching. Secondly, they talked about the current trend in the market for the internet, which was largely focused on the young and old people's different tastes. Thirdly, they discussed the role of the Internet in the current political climate, and the future directions of the society. Lastly, they agreed that the market should be more focused on young people and less on old people.",2,1
9,"This is the second meeting of the group. First, the group discussed the role of social media as a useful platform and tool for young people. They also discussed the current trend in the market and future direction of young people's lives. Then, the discussion moved onto the topic of young trans kids and how they would like to make their lives better. They talked about how they could help their young trans friends to make sure they were on the right track. Finally, they talked about the future of their group and future plans.",2,1
10,"The group was moving to a new building across the street and were moving in three weeks. The group discussed the logistics of the new building. First, the group decided to organise their group into three groups: the phd students, the professor, and the graduate student. Next, they decided what kind of equipment they should have in their new building and how they should design it. Lastly, they discussed how they could make their group more efficient by making sure they had enough money for the cost control.",1,0
11,"This meeting was about the design of the new building. First, the group decided to put two people room in the middle with only one window, so they would have to pay attention to the colour of the building. Next, they decided to place the first para meter, the first one was a para meter to choose people to put in their offices. Then, they agreed to put the second one as well as the third one. Lastly, they discussed how they would make the building more comfortable for all of them.",1,0
