,text,ActualLabel,PredictedLabel
0,"the meeting was about the architecture design of the git lab's new dss project. the group first discussed the design of an architecture design document that would cover the future of the dss. they discussed how they could further improve the current architecture. the meeting ended with a general discussion about future work on the project, including future directions for the project and future work in general. the final meeting was focused on future work, including a new project manager's role and the future direction of the project.",0,0
1,"the meeting was about the weekly sync for the new diffs project. the team was working on an architecture workflow for the architecture. the professor thought that they should make the team more efficient by making sure that they would not only focus on the architecture, but also on the design of the interface and the interface design. the group also discussed how they could make the project more efficient. the meeting ended with a general discussion about the current status of the project, including the progress of the team's work and future directions.",0,0
2,"the meeting was about the performance of the d-goal. the team was reminded that they had to be very careful about the quality of their work. the professor thought that they should make sure that their work was up to standard and that they were doing a good job of it. the group also discussed how they could make their work better. the final meeting ended with a group discussion about the future directions of the project, including the future direction of the team and future work on the project.",0,0
3,"this was the second meeting of the new d-goal group. the meeting was about the architecture of the database. first, the group discussed the scroll issues that the team had to deal with. next, they discussed the logistics of adding the blueprint to the documentation. the group also discussed how they could make their database more robust. lastly, the meeting ended with a general discussion about the future of the project, including future work on the database and future thoughts about the team's work in general.",0,0
4,"this is the second meeting of the team. the meeting was about a new case management role for case managers. the team first discussed the technical design of the case management interface. the group then discussed how they could make the case manager role more attractive to the young and old people. finally, the meeting ended with a group discussion about the future of the project, which was mainly about the working conditions of the building and future work on the case-management role. the final meeting concluded with a discussion about future project ideas.",1,6
5,"this meeting was about an investigation into the performance shortfalls in performance of an employee. the group discussed the technical issues that the employee had to deal with, such as having the appropriate tools, equipment, and training. the meeting ended with a general discussion about the future of the project, including future work and future work on the project. the team also discussed how to make sure that the project was up to standard and that the team was making good use of the time they had left over from the last meeting.",1,0
6,this is a webinar on conducting a disciplinary investigation. the meeting was about the acas code of practice. the team first discussed the legal background to the topics that they were dealing with. they then discussed the logistics of the investigation process. the final point was that the team should be very careful about the quality of their investigations. the group also discussed how they would make sure that the case was dealt with in a fair way. the professor thought that they should be careful about how they dealt with the case.,1,5
7,"this meeting was about the future of social media. firstly, the group discussed the current trends in the social media market, including the rise in the use of the internet and the trend-watching. secondly, they talked about the current trend in the market for the internet, which was largely focused on the young and old people's different tastes. thirdly, they discussed the role of the internet in the current political climate, and the future directions of the society. lastly, they agreed that the market should be more focused on young people and less on old people.",2,3
8,"this is the second meeting of the group. first, the group discussed the role of social media as a useful platform and tool for young people. they also discussed the current trend in the market and future direction of young people's lives. then, the discussion moved onto the topic of young trans kids and how they would like to make their lives better. they talked about how they could help their young trans friends to make sure they were on the right track. finally, they talked about the future of their group and future plans.",2,2
9,"the group was moving to a new building across the street and were moving in three weeks. the group discussed the logistics of the new building. first, the group decided to organise their group into three groups: the phd students, the professor, and the graduate student. next, they decided what kind of equipment they should have in their new building and how they should design it. lastly, they discussed how they could make their group more efficient by making sure they had enough money for the cost control.",1,0
10,"this meeting was about the design of the new building. first, the group decided to put two people room in the middle with only one window, so they would have to pay attention to the colour of the building. next, they decided to place the first para meter, the first one was a para meter to choose people to put in their offices. then, they agreed to put the second one as well as the third one. lastly, they discussed how they would make the building more comfortable for all of them.",1,0
11,this is the first meeting of the new remote control project. project manager introduced the team members to the project and asked them to come up with a new design for the remote control. the team agreed to make the new product more user-friendly and to make it a remote control for all age groups. the meeting ended with a group discussion about the working design of the product. the group agreed that the product should be a working design with a wide range of functions and should be suitable for all ages groups.,3,1
12,"this meeting was about the working design of the new remote control. first, the group discussed the three presentations from the three team members: from the group's point of view, from the user interface's perspective, and from the industrial design's perspective. they agreed that they should make the product only for tv and that the corporate image should be the final thing to be added to the product. then, the team discussed the project requirements: the design of components, system, and interface design. the group agreed that the product should be only for television and should be priced at twelve and a half euros.",3,1
13,"this meeting was about the design of the new remote control product. firstly, the group discussed the market requirements of the product: young people would like to have a high-tech design with fewer buttons than most of the controls on the market. next, they talked about the working design of their product: it would be a remote control with lcd screen and voice recognition. lastly, they discussed the product requirements: the remote control would be good-looking, easy to use, and would be priced at twelve fifty euros.",3,1
14,"this meeting was about the conceptual design of the remote control. first, the group discussed the components design. they decided to have the, the logo, the company logo in its colour scheme in its own colour scheme. next, they discussed the technical requirements. the group agreed that the product should be simple to use, but they wanted it to be more expensive. lastly, they made some decisions about the product design, like the colour scheme, the material, the battery, and the buttons.",3,1
15,this meeting was about technical issues that the team had to deal with within the backdrop project. first the team introduced the technical lead for the backdrop c ms project who was introducing the d two b migration model. next the group discussed technical issues with the d-two b module which was responsible for migration to the database. lastly the meeting ended with a group discussion about the future of the project including future ideas for future work. the group agreed that more work should be done on the background project.,0,0
16,this is the first time that the team has hosted a release kickoff at git lab. the meeting was about the glab 16.7 monthly release kickoff for november. first the team discussed the current status of the core platforms group. next the group discussed the future direction of the project including future directions and future work on data science. lastly the meeting ended with a group discussion about the deaf section of the web which was mainly about the improvements in the interface design.,0,7
17,the group product manager introduced the product leaders for the sec and data science sections. the team was working on a world-class cops experience with a focus on first class usability and a i powered workflows. they were also working on an interface for the data science section. the meeting ended with a general discussion about the future direction of the project including future work on the cops project and future directions of the c-zero project. the group also discussed the future of the team and their work on c-one and c-two.,0,0
18,this meeting was about the logistics of the group meeting. the team was trying to figure out how they could make their group meeting more efficient. the professor suggested that they should make the meeting more interactive and asked the team members to share their knowledge about their work. the meeting ended with a general discussion about the future of the project. the group discussed how they would like to make their meeting more useful. they agreed to make it more interactive by making it more accessible to all members of the team.,0,0
19,"the meeting was about the progress of their work on the aurora project. the group discussed aurora's progress and future directions. the professor thought that aurora should create a shared document with some organization to share the work they had done. the team agreed that aurora's performance should be measured against the criteria they had set for aurora, but they were not sure how they could make their work better. the meeting ended with a general discussion about aurora's future directions and future work on aurora's project.",0,0
20,"this is the second meeting of the group. first, the group discussed the logistics of the new time zone. they discussed how to deal with the different time zones of the time zones. then, they discussed how they could make their work better by making it easier for people to share their work with the world. lastly, they talked about how to make the new diffs architecture better for the group and how they would make it easier to share ideas about their work and future work with other groups.",0,4
21,"this meeting was about the progress of the team's work on the ds project. the team first discussed the technical matters, then moved onto a discussion about how they would make their work more efficient. the final decision was made that the team should focus on the service side rendering, but the team was not sure what they should do to make it better. finally, the meeting ended with a brief discussion about the future of the project, which was mainly about future work and future thoughts on the project.",0,0
