,text,ActualLabel,PredictedLabel
0,"This is the last day of the Cop 26 meeting. Firstly, the group discussed the future direction of the meeting. They discussed the current climate crisis, the environmental crisis, and the ecological crisis. Next, they discussed how to make sure that the young generation would be well-provided with the necessary financial resources. Lastly, they talked about how to deal with the future of the world and the role of young people in the process of making the world better. The meeting ended with a group discussion about future directions.",0,0
1,"This is the second meeting of the team. First, the first draft decision text for the mitigation work program was released. Then, the team had a discussion about the cover decisions on cover decisions for the cover decision. The group also discussed the future of the project. The team was reminded that the team was running low on time, so they had to make some changes to the current project. Finally, the group discussed a new collective quantified goal on climate fan finance, which was agreed with the group.",0,0
2,"This meeting was about the progress on the carbon market. The team first discussed the status of the case of Allah Abdel's family. The professor thought that the team was doing well, but the team thought that they should keep improving their work. They discussed how they could make their work better by focusing on the energy source they were using. The meeting ended with a general discussion about the future of the project, including the team's work on energy source and future work on the project.   ",0,0
3,This meeting was about technical issues that the team had to deal with within the backdrop project. First the team introduced the technical lead for the backdrop C MS project who was introducing the D two B migration model. Next the group discussed technical issues with the D-two B module  which was responsible for migration to the database. Lastly the meeting ended with a group discussion about the future of the project including future ideas for future work. The group agreed that more work should be done on the background project.,1,0
4,This is the first time that the team has hosted a release kickoff at Git Lab. The meeting was about the Glab 16.7 monthly release kickoff for November. First the team discussed the current status of the core platforms group. Next the group discussed the future direction of the project  including future directions and future work on data science. Lastly the meeting ended with a group discussion about the Deaf section of the web  which was mainly about the improvements in the interface design.,1,0
5,"The group product manager introduced the product leaders for the SEC and data science sections. The team was working on a world-class Cops experience with a focus on first class usability and A I powered workflows. They were also working on an interface for the data science section. The meeting ended with a general discussion about the future direction of the project 
 including future work on the Cops project and future directions of the C-zero project. The group also discussed the future of the team and their work on C-one and C-two.",1,0
6,This meeting was about the logistics of the group meeting. The team was trying to figure out how they could make their group meeting more efficient. The professor suggested that they should make the meeting more interactive and asked the team members to share their knowledge about their work. The meeting ended with a general discussion about the future of the project. The group discussed how they would like to make their meeting more useful. They agreed to make it more interactive by making it more accessible to all members of the team.,1,0
7,"This was the second meeting of the climate conference. The group discussed the current climate situation, the Paris Agreement, and the implementation of the Glasgow plan. They also discussed how they could help the young people, who would soon be born. They discussed how to make sure that the future was good for the planet, and how to deal with the future needs of the world. The meeting was largely focused on the future of the planet and its future direction, including how to help young people and the environment. ",0,0
8,"This is the final meeting of the Intergovernmental panel on climate change. The team was very satisfied with the results of the last meeting. The group also discussed the future directions of the project. The final meeting was about the Synthesis Report for the sixth assessment cycle, which was presented by the group of participants. The meeting ended with a group discussion about the future direction of the Project Manager's work on the project, and the team was asked to give their feedback on the final results of their work.",0,0
9,"This is the synthesis report on the three previous special reports and three working group reports. In the report, the team discussed how to deal with the impacts of human-caused climate change. The team was reminded that they needed to cut down greenhouse gas emissions by half by 2030 to keep the temperature at 1.5°C. They also discussed how they could reduce the demand for energy and reduce the cost of their products. Finally, the meeting ended with a general discussion about the future of the project.",0,0
