,speaker_label,start_time,end_time,text
0,spk_0,0.08115,0.480833333,"Hello, everyone. Welcome to. Its becoming an annual, um, meet and greet Q and A session with uh, the CV SD Health and Safety team. My name is Jocelyn Boe. Im one of the school nurses at Shelburne Community School and the COVID coordinator for the Champagne Valley School district and have some wonderful experts uh who are joining us today. So theyre going to introduce themselves."
1,spk_1,0.49665,0.818316667,"So Im also going to chime in, Im Bonnie Bets. Im the Director of Digital Learning and Communication for the district. So Im mostly here to record this meeting and help make sure that others can see it. Uh Lisa and Emily, why dont you all go next and then well have our position."
2,spk_2,0.842483333,0.944816667,Um Im Lisa Bisbee. Im a special educator at Williston Central School in 1/5 through eighth grade team.
3,spk_3,0.969316667,1.02815," And Im Emily mclean. I am a teacher at CBU High
 School"
4,spk_4,1.067333333,1.534316667,"CV U. Sorry. Ch I had a lot of kids go through CV U I, I think I told you once before. I have like hundreds of hours of years, whatever it is. So Im Bill Ras, Im a pediatric infectious disease physician at the University of Ramada. I live in Charlotte and uh have vast experience with the school system there and Im really supportive of everything you do. Its good to see some familiar faces actually. Um um Its nice to be a part of a team. Thanks for inviting me."
5,spk_5,1.565666667,1.88315,"My name is Doctor Elizabeth Hunt and I also live in Charlotte and have three kids at CCS and I help out in the volunteer capacity as the health advisor with the school nurse there and the wonderful leadership team. And Im a general pediatrician in South Burlington, Vermont and joined by one of my partners."
6,spk_6,1.90165,2.176633333,"Im Leah Costello. Im a pediatrician at Timberland Pediatrics with Elizabeth Hunt and I live in Heinsberg. I have two Children that attend Heinsberg community school and I have one child that attends Annette. Um, shes two the daycare right across from CD U."
7,spk_0,2.201983333,2.595666667,"Um I was wondering maybe, um before we jump into kind of our questions, if one of our doctors wants to take a stab at just kind of setting the stage of where were at right now in the COVID landscape in Vermont. And a lot of us left in June and thought we were leaving it behind for schools. And so I think it would be good for us to kind of get in that mindset. Where, what are you seeing and what, what do you think were walking into for the school year?"
8,spk_4,2.615316667,4.729983333,"So if I can, Id love to take a crack at that. I think that there has been tremendous concern across the United States about the surge in infections and the transmissibility of the Delta variant that has really changed our thinking about the virus quite a bit nationally. I think that weve learned that this uh uh variant is much more infectious than previous variants and that people who are not vaccinated or not immune um will become infected. And that were seeing, thats one of the reasons were seeing the surge in cases. Were not entirely sure that the Delta variant is more, at least to more severe disease. We just know that it is much more infectious. Having said that I would say that Vermont is still the safest place in the state. No, the nation to be, we are in good shape compared to everyone else. If you look at our numbers compared to Louisiana, Alabama, Texas, Florida, Tennessee, we are off the charts better, to be honest with you, we really are, we get really excited when there are 100 cases and we have a 3% infectivity rate on people who are testing and theyre symptomatic. Um States would love those kind of numbers. So we do want to reassure families. We really want to assure the nurses, we want the special educators that we, that we can send kids to school, that kids can be in school, that kids need to be in school. Um That this is a good safe environment where we can do lots of things to keep them there. So I dont want people to panic. I dont want people to think that its too dangerous to send their kids to school or that they have to mask at home or something else like that. Were just saying that with the Delta variant, you should just be more cautious about congre and endure, particularly with people you dont know. Uh And, and in school settings, weve been very supportive of masking in the school setting. And I know, you know, the agency of education guidelines about that. But again, there, theres a a rationale for doing that. So we want to reassure parents, we want to reassure them that kids need to be in school, they can be in school safely. We wanna reassure that the vaccines are safe and that at any opportunity we should get shots in arms and we want to support them in their decisions."
9,spk_6,4.760816667,5.790983333,"Id like to piggyback on that question. Thank you, Doctor Rasco. That was great. But we also left in June feeling like we were just not seeing a whole lot of illness last year. And as a general pediatrician in private practice, we have seen a significant amount of infections that we dont typically see in the summer. Um So we are just the landscape is very different. Were seeing RSV and young infants and probably in older kids too. Um Were seeing kids with croup. Were starting to see hand foot and mouth. Were seeing enter virus. Were just seeing some common summer viruses and some uncommon summer viruses. So thats all in this picture with COVID that last year, we saw very little pediatric disease um because of masking and distancing and all the things that we did. But we are now seeing those come back and that is just changing the landscape, um and um changing the amount of quarantine and testing and the things that families need to do that,  I hope well talk about
 tonight."
10,spk_5,5.816483333,7.23515,"We also entered this school year now knowing a lot about vaccines against COVID that protect against SARS COVID. Two health care providers started getting vaccinated last fall, mid fall, late fall. And our, you know, CV U students in 12 and up started in May. And um we know that its a very well tolerated vaccine that it does work vaccinated. Individuals are less likely to get severely ill or hospitalized or have um death. And um in the young, I mean, the percent of adverse effects is super, super, super low. And over time, weve seen many vaccinated students, teachers and parents do very, very well. Um So that provides an additional layer of confidence going into the uh the school year. And we know like what Doctor Costello was saying about the virus is being funkier this year. Its largely because of masking, being so effective. And I would say we talked a lot about masking and concerns about that for the student population, for you educators and think of how well they did this year. They knocked it out of the park. The students were so flexible. Oh, we have this tea, you know, oh, its gonna be like that. I was really, really impressed and empowered by young people this year. And I think thats a, its a better place to start from."
11,spk_0,7.27,7.61765,"I can kind of piggybacking on that about masking. I know that the Vermont chapter of the A AP is really encouraging universal masking in schools. And um again, this is kind of a nationally a hot button topic about, you know, wearing a mask in school and mask mandates. Can you guys talk a little bit about your position on masks in school and, and, and what youre seeing."
12,spk_4,7.664666667,9.992166667,"So uh the American Academy of Pediatrics and the Centers for Disease Control uh did recommend universal masking. The, we feel fairly strongly that masking really works to prevent transmission. We have great data in schools that when you follow mitigation procedures, we can prevent transmission in school. Yeah, you know, theres a three part, you try not to get let the virus in you prevent transmission and you get it out as quickly as you can with contact tracing. But masking is a central part of that. The 80% rule has some uh background and, and in, in terms, in terms of um what we call an R not value like how transmissible a virus is and how many people need to be protected before you have heard immunity. That number was really generated uh with the original variants that were circulating in the United States. We thought that if you really got to maybe 80% vaccination that maybe you would have a herd immunity. What were learning with the delta variant is that, that may not be the best number any longer and that were seeing more breakthrough cases uh though generally very mild. Um And so there is concern that that may not be a good enough there. And as you can imagine, Jocelyn operational an 80% rule uh is really challenging. So, uh you know, at CCS, which is K through eight, you know, you know, thats, thats a building as they just, just the 7th and 8th graders, are they gonna be allowed to unmask versus no one from, you know, K six? Is it one building? Is it two classrooms extraordinarily challenging? And if you can imagine, you know, thats more competent enough when you have K 38, now youre at a school that straddles the New Hampshire border where you have people crossing the border. How do you figure out whether 80% of the people have been immunized? So, while we understand the rationale behind that, I just think that thats gonna be really challenging and I think that it is just so much more straightforward, easy and appropriate to support universal masking in the school. I would say that be a Bell right now, I was supposed to join a different meeting at six, but Becca Bell is at a different school board meeting where there are a whole bunch of anti maskers and anti vaccinators in the audience uh firebombing them right now. Um Just because thats how controversial the issue is."
13,spk_5,10.04933333,11.73466667,"Well, in terms of tolerance of masking, I mean BSA, I had mentioned that Children were accepting of it and able to comply while still learning, socializing and enjoying the school experience. There were many parents um I think who are concerned about the experience for their child. So maybe Cho chose for remote or we were reluctant to go to hybrid or in person. Um Also, I received a lot of con concerning kind of messages and questions about athletics, temperature change, you know, all of the environmental factors that make wearing a surgical mask or a double layer, cloth mask uncomfortable. I feel like the educational system handled that very well in terms of giving breaks and letting kids know that if they needed to slow down or step away and take a break that they could and we did not see any really dangerous or untoward events in individual kids or the whole population this whole time from masks. And that is once again a a valuable learning experience and I think kids will talk to each other about it. Yeah, its not that bad. You can go to get air if you wear a mask. Um, you know, were, were gonna end up masking a lot more when we have less ventilation, less opportunity to be outdoors. I suspect. So, um, I think using the experience to support, um, people who might be antimaskers. I hadnt heard that term yet. Bill. But, uh, so, um, the kids really are the best teachers I find in this, this kind of situation"
14,spk_0,11.77316667,12.02083333,in addition to masking. Can you think about some other mitigation strategies that you want parents to know about? You want staff to know about? What are some other things that you saw that we were successful from last year that we need to carry over in this coming year?
15,spk_6,12.05181667,13.20233333,"I was, we have to keep sick kids home. Um, and this is really challenging, um, for myself included as a parent. Uh, that as if your child wakes up with the sniffles, it is not allergies, stay home, get tested, um, reach out to your pediatrician or if your child has mild symptom symptoms that you dont feel like you need to contact with your doctor. You can actually just go to the health department sites and test. Um, its easy, its available for kids over 12 months of age. Um, we went to the Waterbury one the other day. It was amazingly smooth and easy, um, for a close contact in our family and tested the whole family. But, um, but we have to stay home if were sick, thats hands down the most important thing and get tested. So, were not bringing COVID into the schools. It is extraordinarily disruptive. Um, if any of you watching this are employers, you need to know that your employees who are parents are gonna need to take more sick time this year. Um, and need to be more attentive to their kids and stay home. Um This year because of not being able to be at school or daycare with any sick symptoms."
16,spk_5,13.268,14.82698333,"Yeah, you hit it spot on and the algorithm that came out is um and it seems like doctor Esky wrote in that there will be a little bit more fine tuning but um just contact your medical home, your school nurse like ah whats this all about? What should we do? You know, its all about getting through this beginning together and asking questions. We have good algorithms. The pop up sites are fine to sign up for free for symptomatic and asymptomatic. Many medical homes are testing, we do them in the parking lot like in our sleep practically. And the algorithms are really helpful. Like weve seen some young kids with teething runny noses like we dont necessarily test them and theyre fine, you know, but most kids who have the symptoms that fall in the the algorithm without being in close contact fever, shortness of breath, loss of taste or smell. Um difficulty breathing, cough, aches, fatigue, vomiting, diarrhea, those are still, you know, need to be in the, in the forefront. And many employers you, you know, had the COVID sick days and, and I think parents are very understanding if the c a childs teacher needs to be out because theyre not. Well, I would hope they would, you know, continue to support those kind of staffing changes that a school will have to make on the fly to keep kids safe. So staying home when youre sick is extremely important,"
17,spk_4,14.84865,16.70398333,"Jocelyn, the only thing I would add is the immunization strategy remains critical. We need to continue to emphasize immunization and I think theres been a glow somewhat of a go slow movement for Children 5 to 12 or 5 to 11. Uh I can go into that more detail, but Im hoping that we can once, if that does get eau that we can not only school based clinics but pop up sites and as well as the medical home to maximize our opportunities to get vaccines into Children, to encourage the older Children to get their vaccine as well because theyre eligible within the school. I think that therell be contact tracing. The state of Vermont is still committed to contact tracing thats not gonna disappear although other states have abandoned that. Um And so the EpiPen is ready for that. I think that ventilation remain an issue, but were not gonna tell you to redo the hava uh fans dont work. But again, if use the summer, uh the warm weather to open the windows or keep kids outside, I think an issue that comes up is what to do when youre um what to do during dining experiences. And so we continue to recommend that and that if youre unmasked and dining that you should try to separate. But the only time we are talking about any distancing, you know, so the Agency of Education uh two pager did not talk about distancing at all. But we tend to recommend from our point of view that if youre unmasked, you should try to be separate for each other. Were cautious about putting an exact number there, Emily and others because me of the school foundered on 6 ft versus 3 ft. But we just say as best you can, it would be nice if you could maintain 3 ft of distance. And it may be that you have some kids in the classroom and some kids in the cafeteria eating or something like that. But things like plexi class are gonna disappear except at the entrance to the the school where the person checking people and may have that as a barrier."
18,spk_3,16.73266667,17.35633333,"So just to follow up on that, Doctor Raza, um I think school lunchtime is, is a big concern for us who are teachers. Um So maybe we could spend a little bit more time talking about that because as you already stated, the A OE guidance was really spartan. I mean, last year we got a big packet and it had pages and pages with lots of details. And then this year it was a quick little two pager that just said wear a mask and I dont know, it sounds like maybe some new information is coming out from the A OE. But what our doctors thinking is the best advice for health and safety measures when it comes to times during the school day where we have to unmask,  which would
 be eating."
