start,end,speaker,text
0.0,4.0,SPEAKER_06, I wonder how much of the meetings is talking about the stuff of the meetings.
4.0,5.0,SPEAKER_01," Yeah, exactly!"
5.0,6.0,SPEAKER_01," Yeah, yeah!"
6.0,7.0,SPEAKER_01," No, no, no, no, no!"
7.0,8.0,SPEAKER_01, What was that?
8.0,9.0,SPEAKER_01, What was that?
9.0,10.0,SPEAKER_01, What was that?
10.0,11.0,SPEAKER_01, What was that?
11.0,12.0,SPEAKER_01, What was that?
12.0,13.0,SPEAKER_03, What was that?
13.0,14.0,SPEAKER_03, What was that?
14.0,15.0,SPEAKER_03, What was that?
15.0,16.0,SPEAKER_03, What was that?
16.0,19.0,SPEAKER_03, The one that I just go around and everyone says what they've been doing.
19.0,20.0,SPEAKER_03, Is it me without anything?
20.0,21.0,SPEAKER_01," No, no."
21.0,22.0,SPEAKER_01, What?
22.0,23.0,SPEAKER_06, What?
23.0,24.0,SPEAKER_06, What was that?
24.0,25.0,SPEAKER_03, What was that?
25.0,26.0,SPEAKER_03, Yeah.
26.0,27.0,SPEAKER_06, Okay.
27.0,28.0,SPEAKER_06, Sounds like you've done something.
28.0,29.0,SPEAKER_06, What was that?
29.0,30.0,SPEAKER_06, Okay.
30.0,32.0,SPEAKER_03," Well, I've got a browser now."
32.0,33.0,SPEAKER_03," Which, whoops."
33.0,34.0,SPEAKER_03," Alright, now."
34.0,35.0,SPEAKER_03, What was that?
35.0,36.0,SPEAKER_03, What was that?
36.0,37.0,SPEAKER_01, Mm-hmm.
37.0,39.0,SPEAKER_02," Oh, I've got a blind spot."
39.0,40.0,SPEAKER_02," Oh, my God."
40.0,42.0,SPEAKER_02, Give it a sec.
42.0,43.0,SPEAKER_05, Give it a sec.
43.0,44.0,SPEAKER_05, Give it a sec.
44.0,45.0,SPEAKER_02, Give it a sec.
45.0,46.0,SPEAKER_02, Give it a sec.
46.0,47.0,SPEAKER_02, Give it a sec.
47.0,48.0,SPEAKER_03, Okay.
48.0,49.0,SPEAKER_03," So, yeah."
49.0,52.0,SPEAKER_03, We've got a browser we've got.
52.0,59.0,SPEAKER_03," A browser we've, which comes up automatically with the transcription box and the topics."
59.0,69.0,SPEAKER_03," And then when you go on the menu, you can select a summarization box, which pops up and an audio player."
69.0,72.0,SPEAKER_03, And I think the search works as well.
72.0,73.0,SPEAKER_03, So you pop up a search.
73.0,78.0,SPEAKER_03, And it loads up just the background when there's an empty.
78.0,84.0,SPEAKER_03," So, when you start, you have to either open, open a particular observation or do a search."
84.0,85.0,SPEAKER_03, And open it through that.
85.0,90.0,SPEAKER_03, That makes sense.
90.0,97.0,SPEAKER_03," The transcription box has got a summarised box, but not just doing it."
97.0,104.0,SPEAKER_03," Now, I wonder how we want to do, you know, we want to pop up, we know where this speaker character"
104.0,115.0,SPEAKER_03," is. Either we could do that, you know, when does it pop up come either, we can, when you click on the ID, any sort of ID in the transcription box."
115.0,120.0,SPEAKER_03," Or we can put an extra button, extra for the buttons, and extra for the button."
120.0,128.0,SPEAKER_03," So that you actually in the transcription box, but so you click on the button and then it opens and it's via that speaker character."
128.0,138.0,SPEAKER_03," The problem is the left click is already used because it highlights that part speech or whatever that, what do you think?"
138.0,142.0,SPEAKER_03," The left click, the left click, the right click."
142.0,147.0,SPEAKER_03," So that, you can, I don't know what happened when you do it quite actually."
147.0,152.0,SPEAKER_03, I love you a bit and I don't know if you have a left click for one thing.
153.0,163.0,SPEAKER_03," I think, so yeah, when you're left click it, you can for example set the marker there so that the audio goes from there I think."
163.0,170.0,SPEAKER_03," So we can't put it on the left click, we could put it on the right click, we could, for example, have a little menu that pops up."
170.0,176.0,SPEAKER_03," Yeah, or you can't get that right click on it menu, you know, and you can click on the speaker characterisation box."
176.0,180.0,SPEAKER_05, What else can we have in there?
180.0,182.0,SPEAKER_03, That's a good point.
182.0,183.0,SPEAKER_03, I don't know.
183.0,184.0,SPEAKER_03, I don't know.
184.0,186.0,SPEAKER_05, I just have a right click on it.
186.0,190.0,SPEAKER_03," Yeah, I don't know about you but usually windows right click."
190.0,191.0,SPEAKER_03, Is it anything?
191.0,192.0,SPEAKER_03, Is it open to menu?
192.0,195.0,SPEAKER_03," Yeah, it's something you don't see."
195.0,198.0,SPEAKER_06, It's a bit weird for it to just drop the hidden stuff.
198.0,199.0,SPEAKER_06, Yeah.
199.0,202.0,SPEAKER_06," To just sort of sort of, sort of, video throughout."
202.0,203.0,SPEAKER_03, Yeah.
203.0,218.0,SPEAKER_02," Or just, you know, I'll just, I'll just, I guess in better, better mix a bit more sense because otherwise you know when we really know that, oh, what if I, right click that, what happens then?"
218.0,220.0,SPEAKER_02," Well, no, no, you still have the menu."
220.0,223.0,SPEAKER_03," Yeah, the menu's all about that."
223.0,225.0,SPEAKER_03," Well, oh yeah, it's more obvious isn't it?"
225.0,228.0,SPEAKER_03, It's more of a pretty physical button.
228.0,230.0,SPEAKER_03," Yeah, that's true, yeah."
230.0,234.0,SPEAKER_06," I'm just going to, I'm just going to want to add more things in a future."
234.0,236.0,SPEAKER_06, I don't know where it's going to be.
236.0,237.0,SPEAKER_06, Maybe.
237.0,239.0,SPEAKER_06, More flexible.
239.0,247.0,SPEAKER_05," Well, I guess in meeting browser 1.1, you can have a menu instead of a button."
247.0,248.0,SPEAKER_05, I'm glad.
248.0,250.0,SPEAKER_05," It's very, very."
250.0,261.0,SPEAKER_03," But actually what we could do is, in that menu as well, we could have an option that pops up a window with all the, all the meetings that that user has been in."
261.0,263.0,SPEAKER_03, Like a search for that user.
263.0,264.0,SPEAKER_03, Yeah.
264.0,267.0,SPEAKER_03, Is that going to be useful or too much on?
267.0,268.0,SPEAKER_05, I guess so.
268.0,272.0,SPEAKER_05," So what did you, part of the, the menu that comes down is, says, give me what you're meeting."
272.0,273.0,SPEAKER_05, Yeah.
273.0,279.0,SPEAKER_03," So when you right click on it, one, one option will be, give me all your meetings, characterizes speaker."
279.0,280.0,SPEAKER_03, Yeah.
280.0,285.0,SPEAKER_03, Was that too much?
285.0,287.0,SPEAKER_02," I mean, I don't think it's good."
287.0,295.0,SPEAKER_02," I mean, it's more like part of the browsing sort of thing more than this speaker."
295.0,296.0,SPEAKER_02," Is it, there's station?"
296.0,297.0,SPEAKER_02, Yeah.
297.0,298.0,SPEAKER_02, Yeah.
298.0,299.0,SPEAKER_02, It's pretty.
299.0,300.0,SPEAKER_02, Yeah.
300.0,301.0,SPEAKER_02, Involved the speaker character.
301.0,302.0,SPEAKER_02, Yeah.
302.0,303.0,SPEAKER_02, It's to be nice to have it in.
303.0,304.0,SPEAKER_06," Can I, can I, can I?"
304.0,305.0,SPEAKER_06, Yeah.
305.0,306.0,SPEAKER_06, I need to tie that in with dialogue acts or something.
306.0,307.0,SPEAKER_06, It will only need speaker characterization.
307.0,308.0,SPEAKER_06," I didn't, I don't know."
308.0,311.0,SPEAKER_06, Just some way to sort of leverage that information.
311.0,312.0,SPEAKER_06, Like we have it.
312.0,313.0,SPEAKER_06, We're doing it.
313.0,316.0,SPEAKER_06," But what, how does it help the browsing or what can it give us?"
316.0,318.0,SPEAKER_06," What do you mean, those speaker characterization?"
318.0,319.0,SPEAKER_03," Oh, well."
319.0,320.0,SPEAKER_03, Yeah.
320.0,322.0,SPEAKER_03," I mean, I don't know about that."
322.0,325.0,SPEAKER_03," I mean, the speaker characterization is a bit like you said."
325.0,327.0,SPEAKER_03," I mean, it's like a nice thing."
327.0,328.0,SPEAKER_03, We don't know.
328.0,330.0,SPEAKER_03, I'm actually sure what the user wants to do it.
330.0,331.0,SPEAKER_03, But it's interesting.
331.0,332.0,SPEAKER_03, So why not give it to him?
332.0,333.0,SPEAKER_05, Yeah.
333.0,334.0,SPEAKER_05, Yeah.
334.0,335.0,SPEAKER_05, I think we should do it.
335.0,336.0,SPEAKER_03, Yeah.
336.0,347.0,SPEAKER_02," I mean, I guess maybe we could have that as another thing of like, well, if you get to speak, clarification that someone talks a lot in a certain topic."
347.0,351.0,SPEAKER_02," And then if you, I don't know, click on that topic, you get."
351.0,354.0,SPEAKER_02, I think that's in that topic.
354.0,355.0,SPEAKER_02, Yeah.
355.0,357.0,SPEAKER_03, And that's still in other level further.
357.0,358.0,SPEAKER_03," I mean, we're not eating that."
358.0,359.0,SPEAKER_03, Yeah.
