,speaker_label,start_time,end_time,text
0,spk_3,11.3305,12.80833333,"Hello, Sharks. My name is Terry Jones and Im the CEO of Nexor. Were seeking a $2 million investment for a 10% stake in our company, Nexor. The next generation exercise system is an interactive and intelligent fitness and gaming platform that delivers a fast, fun and effective workout for everyone. It doesnt matter if youre an average Joe or if youre an Olympic medalist, like my friend Marlon Esparza Nexor combines the benefits of a personal trainer with the fun and excitement of todays online games. You simply select your personal profile, then you choose between circuit training high intensity interval rounds or a one on one challenge against one of our Nexus avatars and youre ready to go. Thats you would kick my ass. There you go. And when youre complete, Nexus provides a detailed analysis of your work. Every time you train, youre gonna live a happier sexier, healthier life using the same methods as professional boxers and M ma athletes around the globe. So which of you sharks would like to draw first blood against your ultimate opponent. Weve got a uh special avatar that we brought. Hey,"
1,spk_0,12.81848333,12.94531667,"thats a good looking dude. There you go, Marlo. Be really easy on him.  Hes a wonderful guy. One punch Cuban where
 lights up you hit."
2,spk_3,12.95216667,13.33931667,"Look at him, Im just gonna uh Mr Wonderful. Youre in trouble. I gotta tell you. Look at that. Awesome. Ready to go, Mark. But you can see Mark was 36% accurate. He was hitting real hard but not necessarily real accurate.  I didnt
 feel a thing."
3,spk_2,13.37381667,13.39483333," Mark. Was it
 fun?"
4,spk_0,13.40566667,13.61716667,"I mean, it was a nice little workout. How long do we do? You did 15 seconds? I mean, doing three minutes on that would be a great workout. Terry eventually. We got to get to this. We put a huge valuation in this company $20 million. Do you have any sales?"
5,spk_3,13.61731667,14.06015,"Uh we do, we are uh sales to date are a little over $4 million. Wow, 4.2 million. Thats over about 18 months. Do you make any money? We are not profitable yet. We should be profitable in September of this year. And is this designed for gyms and the home? Absolutely. The black model is the personal model. The silver model is the commercial model. Where are the sales? Give me the breakdown currently? About 70% commercial and about 30% home."
6,spk_2,14.06548333,14.11648333,I think its very cool. I do really like it.
7,spk_3,14.11816667,14.20133333,"You get demonstration,  I think better than almost anyone in the world having your experience while
 youre"
8,spk_0,14.20533333,14.27865,"up to Laurie. Lets go back to the numbers.  Whats your cost to make one
 of those units?"
9,spk_3,14.27881667,14.42698333,"Uh just under $2000 for the commercial units? Well, Terry,  this is
 really a digital punching bag punching bag costs about $1200 a good one,"
