,speaker_label,start_time,end_time,text
0,spk_0,22.10466667,22.16733333,Next up is a solution for our sedentary lifestyles.
1,spk_6,22.28281667,23.36865,"Hi, Sharks. My name is Bing Howenstine and Im the CEO of all 33. Im here today to ask for $500,000 for a 2.5%. Hello. Piece of our company. Bing baby. I know it is a very serious ask, but thats because it is for a very serious problem. Chairs. They may be killing you. Now, youve all heard sitting is the new smoking. Well, they are right. Sitting for any length of period of time is really bad for you and chairs. Well, theyve had the same basic design for almost 3000 years, whatever youre sitting in. Even the fancy expensive chairs you guys are sitting in right now, you can find yourself locked, stuck, immobile and a lot of times in pain and for all of us working at home these days, this is just not ok. Well, I have some really good news for you. Oh, all 33 is here to save the day, but dont just take it from me. Lets hear what one of our biggest fans has to say."
2,spk_8,23.41648333,23.77083333,"Hey, Sharks, Im Justin Bieber and this is the all 33. Its the chair that moves like I do. I mean, guys, look at this perfect posture, got my chest up my shoulder back. Im waiting for you? I mean, have you guys ever seen a chair that could do this? Im doing a full ab workout right now. All right. Hit me up later. Ill be back if you gotta sit. This is it"
3,spk_6,23.80716667,24.35266667,"now, Justin knows what hes talking about because this is our patented sit in motion technology. Its like a chair within a chair and it rocks just like our sales about. You dont have to have moves like Justin in order for this chair to work for you because all you have to do is sit, get fit and all 33 of your vertebrae. Well, theyre gonna keep moving all day now. This is a chair now, Mr Wonderful. Youre looking particularly uncomfortable. I am.  Would you like to come up and see
 what were talking about?"
4,spk_5,24.35283333,24.42333333," I have a bad back from a squash injury. Oh,
 well, then lets see what happens."
5,spk_6,24.42831667,24.58948333,"Make sure you get your behind all the way into the back of the chair. Scooch back there. All right.  And you can probably feel the rocking motion move back and forth. Very
 interesting."
6,spk_5,24.60181667,24.64616667,Why is this making me sit up straight? Why is that happening?
7,spk_6,24.65131667,25.08448333,"So, the, the patterns that we have about this are really quite unique. Basically, Doctor Dennis Colonel who invented this. Hes been doing this for a long, long time. Hes got 45 years of treating backs necks and everything else he figured out. Lets get your hips moving almost as if what youre experiencing is, is, is a sensation thats almost like youre standing. But when youre sitting, it is moving all 33 of your vertebrae while youre sitting. And theres nothing else in the world that is doing."
8,spk_5,25.08465,25.34331667,"Im very skeptical about all these claims on chairs because Ive tried so many and I also have tried different devices that way back. This thing actually is working. I dont care about Bieber. Im gonna kick his ass when an eye album comes out.  I dont like your valuation though. Well, we can
 talk about that."
9,spk_6,25.34481667,25.36666667," I would expect that from
 you."
10,spk_4,25.36883333,25.4125,"Tell us how, how did you get into this and what happened?"
