,speaker_label,start_time,end_time,text
0,spk_0,0.10781666666666667,0.11798333333333333,Mm mm. Mm.
1,spk_1,0.12948333333333334,3.555833333333333,"Ok. So as you guys know is o is too small. Well, the building is too small for our group. So were moving to a new building. Uh its gonna be the building across the street and were actually moving in three weeks. But the problem is that the administration wants to know whos going to be in what office in the new building and where were gon were gonna put things like the printer, the fax machine, all the big equip ment and the catch is that they have the final approval of where we put people in equip ment and they want to know where were going to do all of this by November 2nd. So that means basically next Tuesday. And since we dont really have any other time, we have to make these decisions today, what were getting is nine rooms for a maximum of 18 people, which is okay cause theres only 15 of us and all the rooms have windows luckily. So theres no fights about who gets a window and who doesnt. Um theres two views either of the old town or the mountains and the rooms of various sizes theres 23 people rooms, 52 person rooms, which a re on the corners of the building. So you actually get windows on two walls and 21 person rooms. Thats pretty much what the building looks like. Um, and then you have the number of people per room, the courtyard, because were on the sixth floor, you can actually go out to it, but just means that the windows look out onto open space. Um You can see the bathrooms, the elevators, a re sort of further down the hall, the purple bar, a t the bottom sort of on the right is the mail boxes, all of the windows open. You can get out onto the terrace just like we can in our normal building. And the equipment that we have to put somewhere a re like I said, the photocopier, which is really big, a fax machine which is not so big and the printer, which is relatively big. Each office has a white board, a bulletin board and a coat rack, no cupboards like we have in the current offices and each person gets their own chair, their own corner desk. So like the, the ones that we have now, um, a small filing cabinet with three drawers and by small, I mean, theyre about that tall and one sort of hanging shelf. So we dont get the bookcases like we have now, but just one shelf thats attached to the wall and the people that we have to place. Uh you can see the list there along with their position and the project that they work on. And I guess the question, the first question is how we want to organise people, whether we want to do it by rank or by project or, I dont know, put all the phd students together, all the professors together, that sort of thing. So the idea is that we come up with a plan, theres another group whos gonna be working on the same plan later this week. And then Andre and I have to do presentations for the university administrators on the second. So I have to come up with a plan possibly if we have time, a presentation, a quick presentation with arguments for why we think our plan works best. OK. All right. So anyone have any ideas or I guess,"
2,spk_0,3.5673166666666667,3.8024833333333334,"uh do we know if there will be a lot of people coming across the hole in terms of security stuff if we can?  I mean, my idea is to put the photocopier and the fax in the hole.
 Yeah. Um"
3,spk_1,3.8198333333333334,4.121816666666667,"I think its, the security is sort of the sa me as it is in the current building. So as long as the things a re physically attached to the wall so they cant be removed, then it should be OK to leave them in the hall. Its just a question of whether youre printing sensitive documents or whatever."
4,spk_2,4.155,4.195833333333334,So we only get one printer for 15 people.
5,spk_1,4.20715,5.276316666666666,"Um, well, we get one sort of networked printer and then I think some of us have personal printers. I think Susan has a personal printer. Gisella has one. Maybe I cant remember who else. Yeah. But no one else gets their own printer in terms of equip ment. Its sort of the sa me thing as we have now. Um, so what Id propose is that we sort of discuss various concepts without getting into specifics and then go off and think about it over lunch and then come back later in the day with sort of more specific proposals as to exactly where to put people. Does that work? Oh, and on the map, the little half circular, well, quarter circles or doors, which Im assuming you figured out. But just in case and theres just the one room that actually has two doors going into it. The, the three person room on the right. Yeah."
6,spk_0,5.2825,5.325,And do we need a room? Like a reading room?
7,spk_1,5.328333333333333,5.904833333333333,"Yes. Yeah. A lot of people were saying that they wanted to have a reading room so we should leave a space for that and we cant because like I said, maximum 18 people in those rooms and theres only 15 of us and I dont know if you noticed, but two of usa re only here half the time. So Martin and David, um a re half the time A T the EPFL and half the time in Geneva. So, I sort of keep that in mind, I guess when youre doing the actual planning."
8,spk_0,6.02215,6.269833333333334,"Mhm. The first split we can do is between administration and researcher. Yeah, I know. Its completely different work so we can deal with administration and decide something for administration. And then,"
9,spk_1,6.304983333333333,6.366983333333334,"yeah, but Gisela is really the only"
