,speaker_label,start_time,end_time,text
56,spk_0,14.038,14.24716667,"Um, yeah, thats true. Thats true. I, um, c so we could put Nancy with David and, uh, put Agnes also working with."
57,spk_1,14.25598333,14.25883333,"So,"
58,spk_3,14.27281667,14.36783333,"but we agree that its not important to, to share the room with someone  that has the SA me
 project here,"
59,spk_2,14.37031667,14.425,"the other constraints, a re, uh, satisfied somehow. So."
60,spk_3,14.43615,14.54365,"Mmhmm. And more, and I will be quite happy to have the, the full room some 50% of the time."
61,spk_0,14.56716667,14.6595,"Yeah, thats a small advantage. And, uh, I, its a bit more, uh, more comfortable actually."
62,spk_2,14.66965,14.96366667,"Uh, but I mean, with, with the three, the 23 person rooms, I think that they can mix them the way they want. I mean, if they prefer to be, uh, Maria, uh, Yalina Nikos and, uh, Nancy and Marian on the other side. Well, no, thats not completely equivalent because Nancy, all a re phd students, a re master students. But Nancy. Correct."
63,spk_1,15.01066667,15.37798333,"Yeah. But that doesnt matter. Thats not important. The one question I was wondering about though, because three is always, uh, well, the more people in office, the less ideal that wouldnt, it maybe be better to put David in since hes only half time. So that way, then  theres not three people all the time.
 So I would switch David and Nancy typically."
64,spk_0,15.40798333,15.47765," Yeah, probably that
 they should be in this room. Could be in the other one for me."
65,spk_2,15.47781667,15.67833333,"The 23 people rooms a re really, they have to be reshuffled according to people personal preferences. So I definitely with  Agnes in the two person
 room,"
66,spk_0,15.6875,15.78166667,"they, they have worked together on par. So this makes some sense. Um"
67,spk_2,15.789,15.86865,"But again, its also a question of personal preference. I mean, you, you cant be IR or the person you dont want to be."
68,spk_0,15.87981667,15.9615,"Yeah. As far as I know, I think its probably quite a good, uh  uh good
 man"
69,spk_3,15.96765,16.0015,that you going to finish the phd or
70,spk_1,16.02048333,16.0825,"uh no.  Uh
 first one should be Maria"
71,spk_0,16.08948333,16.16031667,but 1.5. Okay. Lets see. You do it this way
72,spk_2,16.17048333,16.422,"that in the 23 people room there will be one that is not so overloaded because of David because David will be part time and the other one not so overloaded because there is a one free position.  Uh, knowing that this one free position, uh, will not stay free very
 long."
