,speaker_label,start_time,end_time,text
0,spk_0,0.000316667,4.479983333,"And set to and now we are live. You will also be on our website. So. Ok. All right. So I think um well continue to monitor um the waiting room so that if anyone is um waiting to get in, you can see us. So lets take a moment just to welcome you. Um We are really excited about todays um presentation. We have two fabulous speakers with us today that I will introduce in a moment. Um We will be focusing on uh clinical trials somewhat but also um background in psychiatry and also neuroscience. Um So just to interview uh introduce everyone that is here with us and those that helped put this together. Of course, um It wouldnt be, uh we wouldnt be here without Doctor Louise mclaughlin who is um running the powerpoint presentation for us. Shes the executive director of Dutchess County Workforce Investment Board. So thank you for putting this together for as today. We also have Mary Jane Bertram who is here as Regional Director of the Hudson Valley Workforce Development Institute and Lorraine is here for as a workforce development liaison with Dutchess Community College. So our two speakers today are Doctor Alex Bulletin who is here and um Angela Dow, I hopefully Im saying that correctly. And um we will get just reminding you the purpose of the zoom today is really to give you an opportunity to learn more about these particular fields in the health sciences. All of this information, the video and the presentation will be posted as all the others are on our website during out during the zoom. As Ive encouraged you already, please make sure that you have your video on. Just make sure that you dont see a red slash through there. And that will allow us to get to know you just like if we have the opportunity to be in person in addition to that, um just uh be sure that you are listening so that you have some great questions to share with us. So um each of our speakers wanted the opportunity um to share a little bit about the life of what they do, how they got into the profession um that theyre in. Um And if theres anything that they would change or any advice that they could give you along the way. So as you, um we always do in our presentations, we share with you um some national averages and regional averages. Um This one is a very broad average for scientists and clinical researchers with the national average uh for the salary. The big piece on this slide is to note the growth in this area um of 11%. So thats always good to know and Im sure both of our speakers will be talking about the schooling um that is required. Um In addition to that, we also will be hearing from our research assistant um who is a recent uh well, a graduate from Roy Ketchum, but shell be talking about the, the extensive journey that shes been taking because its a number of years of experience to get where she is right now. Um In addition, we always talk about those um skills that each of the, the health sciences look for. So you can take a look through this once the presentation is posted and um our speakers can definitely uh listen, you can listen for this as our speakers talk to you regarding the skills that they, they feel are most important, um particularly those listening skills and then we will start by introducing it. So I make sure were on the same page. Um Doctor Alex Collison. So again, if, if I went too quickly over these present uh slides, you know that they will all be on the website. So Im pretty excited today to introduce to you, Doctor Alex Pool. And um he has a very long title. Um He is a child and adolescent psychiatrist and um works out of Mount Sinai in New York City through the icann um Center Fever Autism Institute. I think I messed the order of that up. So I apologize because I wasnt reading it. I was doing it from memory. Um, but, uh, Doctor Alex, who I finally called, Doctor Alex, um, uh, but Doctor Phil is gonna share with you, how did he get into this field? And, um, just some of the fabulous, very interesting things that he gets to do in his role. Im gonna turn it over to you, Doctor Alex and thank you again for being here."
1,spk_1,4.494333333,4.859,"Thanks, Amy. Its really good to be here. Maybe orient me a little bit. Who am I speaking to? Exactly. I see some faces. I see a lot of grown up faces but who else is like, generally speaking on the call? Youre muted, youre muted. Maybe you, youre muted."
2,spk_0,4.877333333,5.18115,"Sorry, I was, I thought I clicked it and then I didnt. Um, so these are our students ranging from seventh grade through 12th grade. So, um, and, and also our, we have our adults that are here from, from putting these together and Angela who is also a speaker. So,  um, and several students might be popping
 on as"
3,spk_1,5.184316667,5.397,"well. Seventh grade to 12th grade. Ok. Yes. And so youre, youre interested in sort of my trajectory? What got me started some advice. Yeah. Ok.  Um, so
 I,"
4,spk_0,5.39715,5.487983333,"Ill definitely share your story that you shared with me already about what your teacher had told  you. Oh,
 yeah. Yeah. Yeah."
5,spk_1,5.488166667,12.89748333,"So that, thats actually, that was the very beginning of it all. Um, so I mean, first, Im, Im a, Im a physician. Im a psychiatrist and I specialize in child ana in psychiatry. I think, um, you know, people always ask, you know, when did you first realize you wanted to be a child psychiatrist or a psychiatrist in general? And, um, I guess the answer for me was really in eighth grade when a teacher of mine, this is like my very first mentor. So thatll be, thatll be kind of my, my biggest piece of advice is to frankly grab a, a mentor and somebody whos really invested in you and in your career. So my, my English teacher whos also my homeroom teacher, she gave me a book on Freuds interpretation of dreams. And she said, you know, I really think youd be a great psychiatrist. It, you know, I hadnt spent even a moment kind of considering what my career path would be when I was in eighth grade. I was, you know, focused on my friends and trying to get by in school and I wasnt especially a good student. I was a decent student. But, um that was really kind of a shock. My, my best friends father as it turns out was a psychiatrist and also kind of odd. And I thought, wow, does that mean that Im odd? And is that like, but, but, you know, it turns out you can be a psychiatrist and not be odd. Um I dont think I was odd in the end. But it really planted a very important seed and it then revisited itself when I applied to college. And I was asked again, what would my major be? You know? And I thought, hm, I guess if I wanna be a psychiatrist, I should probably major in preme or do premedical classes. So thats how I set out at the beginning of my college career. I went to the University of Wisconsin. And um I really had absolutely no concept of what was required in terms of effort to be successful on a pre med path. And so very soon into my college career, I realized, gosh, I cant have fun in college and, and enjoy myself and take other kinds of classes and also, you know, survive premed. So I switched tracks and II, I became a psychology major instead. And then I thought to myself, wow. And I was gonna the next kind of point or I had to figure things out. I was, I was practically a junior or senior in college. And, and um I had to think about whats my next steps. I thought while I was a psychology major, I might as well pursue a graduate degree in psychology to be, to be a clinical psychologist because I had already skipped over all these premed classes that are required for medical school. And I was sitting in interviews for first clinical psychology. And I was asked the question, why do you want to be a clinical psychologist. And it occurred to me in that moment, um, I, I really didnt want to be a clinical psychologist. I wanted to be a psychiatrist and a physician and I, you know, and I, and I tell these stories and these are actually very true stories because I had no idea what I was doing when I was in seventh grade or eighth grader, ninth grade or 10th grader. Even when I was a senior in college, I had very little idea of what I was doing. I had a sense of what my interests were. I had a sense of what I thought Id be good at more importantly. And it just kind of gave this little um beacon of, of direction, but it wasnt as um kind of thought out. I had an experience when I was a, I think a freshman in college is a camp counselor where I was a counselor in um, a bump for kids with autism. And that really fascinated me and I planted another seed and I thought to myself, oh, wow. So psychology psychiatry, maybe developmental disabilities. And that kind of led me to this direction of working with Children in psychiatry and developmental disabilities. And then, and then you kind of get on a path and, and you decide, well, if this is what Im gonna do, heres what it looks like. So it looks like you gotta finish college, you gotta go to medical school, then you gotta go to residency. And if you wanna work with kids, you have to do a fellowship on top of your residency. So I did um four years of college and then, because I wasnt premed, I, I did so terribly in my premed classes, I had to go back for uh two years to collect all the premed requirements, like chemistry and biology and physics. So thats basically six years of college. Plus whats, whats called post back then. Four years of medical school. So, what is that? Thats 10, then three years of adult psychiatry residency and two years of, of child psychiatry fellowship. So, my training was, was 15 years and I guess, you know, from, from the perspective of the seventh or 12th grader that, that feels like a very, very, very long time. Um, but, but frankly, its not because when you think about it, you know, you, you practice or you work for, I dont know, I just, I just turned 50 last week. What is that? I, I guess I, I finished when I was 30 all my schooling. So Ive already been practicing for 20 years and, you know, I only 50 you know, presumably I have another 25 years perhaps to go. So 15 years wouldnt be invested in like a career thats gonna be 4550 years. Its probably worth it. Um, I like to encourage people to go into medicine because I think that theres very, very few careers out there where you can have an impact on somebody every single day. You can actually feel like, wow, your work is meaningful. Youre helping people. Thats very gratifying. I think its, um, you know, when you invest so much time and energy and, and frankly money into a path, it, um, it feels like the investment really pays off. I, I think that psychiatry in particular is fascinating. I think its a really kind of developing field. I think people who are interested in how the mind works. Um It never gets boring. Theres always really fascinating stories. Theres always really amazing experiences working with families, theres always new things to learn, so youre constantly being challenged. Um So III I think, you know, in that sense, I would encourage people to consider medicine. Ill say one more thing and Im, Im happy to take some questions. So people I think are afraid of medicine because they feel like Im not good at math or Im not good at science. And, you know, I, I think it may be that math and science arent like your strengths necessarily. But I think if you work really hard, you can, you can overcome those things. I, I got a five credit DD in chemistry in college, you know, and, and I, I actually, I advertised that because that failure taught me an enormous amount about how to succeed and what it took. And so I then went back and I took another chemistry class and I got an a, um, because I learned, you know, what, what, what, whats required and it wasnt because I was good at chemistry. I was actually pretty bad at chemistry but you, you kind of figure it out over time. Um, I was a terrible math student. Um, in high school. I was like in that, at that point in eighth grade I was focused on like trying to pass math. Um and I got an a in calculus, you know, at Columbia eventually. So, you know what you decide right now in terms of what your strengths are and how you kind of view things may not necessarily be how you see things in five years or 10 years. So dont, dont um dont kind of predetermine your future based on very small experiences and find mentors, find people that are gonna like, inspire you and teach you and look out for you thats really important."
6,spk_0,12.91083333,13.367,"Excellent. And um just like a, I know your day is so varied. So Im gonna say a day in your life, but its more like a month in your life because you have so many different roles that you play. Um You, you know, obviously run clinical trials, you see patients. Um Can you, can you try to describe how varied your day is? And a lot of our students do ask, is there um like a balance between family life and work life."
7,spk_1,13.36983333,15.27816667,"Yeah. Um, so, yeah, that, you know, balance is really important to achieve. Um, Im still trying to figure that balance thing out. Um, I think what I like the most about my job is, is actually all the variety. Um, I mean, a day and a month are actually similar in some sense. I mean, I, I came into the office this morning at eight. I, well, I, I was up earlier, I, I had some balance in the sense that I went to exercise in the morning. I took care of myself a little bit. At eight, I was in the office, I saw a patient from 815 to 9, from 9 to 930. I interviewed somebody for a job who wants to come onto our faculty. From 930 to 10. I, I cant remember. I think it was an administrative meeting. I do some administrative stuff. Um From 11 to 12, I sat in a lecture so I was able to kind of just learn some stuff. It was like a grand rounds of sorts from 12 to 1. I saw a patient who is actually participating in a clinical trial. So at eight oclock this morning, it was like a, a patient who Im just taking care of an ongoing care. And then at noon, I saw a patient whos being taken care of in the context of a very strict protocol who is doing an experimental uh treatment trial. Essentially from 1 to 130. I eat, like I have to eat periodically. Otherwise I get very grumpy and now Im on a call with you guys so you can see the variety and its really, really cool and, and lots of fun. And this afternoon I have another extensive research evaluation. Um, I have, Im sitting in on a conference call thats more academic and then I have a couple of patients in the evening. So I should be home by 730. I would say have dinner with my wife and kids. Ill probably be asleep by 930 maybe 10. Ill watch some TV, maybe Ill do a little reading. Yeah. Um, it is, it,"
8,spk_0,15.27833333,15.8505,"it you and we know how busy you are and that you um are always being asked to uh participate in various studies and, and clinical trials. Um So Ill let, Ill let our students think about that a little bit because I wanna make sure Angela has the time to share her, her um trajectory to where she is today. And um then well really open it up for questions because oftentimes our questions, um both of our speakers have a chance to, to share. So Angela, why dont you go ahead and, and share a little bit about your experience to get where you are today?"
9,spk_2,15.86431667,29.34166667,"Sure. Um I am, Im Angela. Im currently 1/4 year graduate student in the psychology department at Rutgers University and specifically, Im in the Behavioral and Systems Neuroscience area. Um So behavioral Neuroscience just means that I am very interested in what the brain is doing. But Im also interested in interpreting behavior to see whats happening in the brain and interpreting whats happening in the brain to see why the behavior is happening. Um I graduated from Ketchum in 2013. So its been a while now. Um And I was one of those students who was just good at everything, which really sounds like a humble brag. Um And its, its not a bad thing, but when it came time to say, what do I want to do? What I want to be? When I grew up in college, I had no idea. I had no idea what I wanted to do. People would be like, well, what are you good at in school? And the answer is, well, theres nothing that really stands out. Everything is, Im just sort of, I could do it all really. So I ended up, I didnt end up, I chose Binghamton University um for a couple of reasons. Its a really great university, a great education. Its a suny. So you save your money a little bit that way. Um And its also a pretty big university. So Im at Rutgers right now which has like 50,000 undergrads, which is huge. Binghamton had like 16,000. So it was big but not like out of this world. Huge. Um And I wanted a bigger university. So that, because I was undecided if I wanted to be a journalist one day next semester, I wanted to be a pharmacist. I didnt have to leave my college. I didnt have to transfer universities. I could really stay where I was. Um, and so I knew what I didnt like. I didnt like math. I wasnt really a huge fan of history and I knew Im, Im very much a people person. I like being with people and working with people, but I didnt want to work with people in any kind of medical or clinical capacity. Um I just felt like it could be kind of draining. I know it can be very rewarding to work with people. But I just felt like for me that wasnt gonna be what I wanted. Um But I did like science and everything. So I went in and I was like, maybe psychology because I really like criminal minds. I watched that a lot in high school and I actually applied to forensic psychology programs. I really considered it. So thats why I was kind of thinking psychology. My first semester I took an intro psych course and I didnt love it because a lot of psychology, well, theres like cognition, theres social psychology, theres developmental psychology and those werent really areas that interests me. And then we started talking about like neuroscience and behavioral neuroscience. Um And like what the brain is doing on like a chemical, molecular sort of matter. And thats what I really liked. And I found out through a friend that Binghamton had an integrated neuroscience program and I was like, that sounds really interesting. And so if I had never run into that friend, I dont know if I would have ever ended up doing neuroscience, but everything sort of fell in place with me. And by the end of my freshman year I had declared as an integrative neuroscience major. My sophomore year, I took a drugs and behavior course and I really, really liked that. Um I thought it was really interesting how you can add something to a system and see it change. So youre adding any kind of drug to the body, it affects the central nervous system, it affects your behavior, things like that. And that was my sophomore year. And around that time, I had a lot of friends who were, um, they were joining research labs and I was like, maybe I should be doing that too. So I joined a research lab as an undergraduate research assistant working in an alcohol lab. We were working with road models of chronic alcohol exposure to see the, to study the neurobiology of learning and memory. And I was actually really nervous to work with animals at first because I love animals so much. My cats my best friend and I know animal research is really important, but I wasnt sure I would feel doing it um, but the animals are held to the highest standards. They are treated so well. They get vet visits every day. They, theres really, its hard, but it makes sense and it, it was ok for me. So that was like my first experience working with animals. Um, and I really liked it. I really like that. I could do something experimental to an animal. Follow it through. I can see its behavior. Unfortunately, you do have to kill the animal to collect its brain. But then I can look at the brain cells and see the impact of the behavioral paradigm, the animal went through or that alcohol treatment that the animal had. And so I really like that and it wasnt until the end of my junior year of college that I was like, maybe I should go to grad school because I started thinking, ok, I have one more year of college left. What am I gonna do with a Bachelors degree in integrative Neuroscience. Um, and one of the reasons I didnt want to do psychology because in my head as a freshman, I was like, if you get a psych degree, youre a counselor or a therapist or something. And I didnt want to go to all that school. I didnt want to be in school till I was 30. Um, as it turns out, Ill be in school until Im 27. Um, but I really like this path, my undergrad research experience really I feel like it kind of like fell in my lap happened, but thats what set me on the path that Im on now. And so I, like I said, I majored in integrative neuroscience, which was essentially an entire psychology degree as well as chemistry. Um, I had to take physics, which was horrible. Physics is really hard. Like I said, I dont like math. Um, some upper level level bio courses and some math courses with nothing too advanced. Um, a lot of people actually used that degree at Binghamton for like a pre health track. So I took a lot of like classes that a lot of like med students would have taken. But I tailored it more to be more on like the psychology side. And so the psychology classes came easy to me, it was something I was very interested in. Um, so I did get a good amount of As in college, but I also got some Bs and Cs in some of my harder classes. I ended up graduating with a 34, which its not bad but, you know, like its not excellent. I didnt get to graduate with honors or anything. Um And I say that because for grad school, I had like this preconceived notion that like the best of the best students go on to grad school to go on and get these, like, you know, their MD, their phd. Um And so I really sort of doubted myself as an applicant because I was comparing myself to other people and things like that. But I had good, I had really good grades in my psychology classes. And then I had mostly these, these pluses in my others. And I was applying to psychology programs for grad school. Um, grad school, theres so much involved in grad school and depending on what you want to do or where you want to go. Um, I really like neuroscience, but like I said, I like behavioral neuroscience, which is typically held in psychology departments. So I focused my grad school search for psychology departments with areas of research that interested me because in psychology departments, you get accepted to a faculty members lab and if you dont match up with a faculty member, you dont really get accepted to the program. Theres other programs that sort of rotate, theres a lot that goes into it, but I knew exactly what I wanted to research or I thought I did, I really, really like drugs. I think drugs are really cool, studying them. Um So I wanted to do drugs and I wanted to do addiction research. Um and thats how I ended up at Rutgers. Um And theres a lot more information on the powerpoint about how I ended up there. So you can always check and read that. Um But the phd program is typically a five year program and whats really great about getting a phd in psychology or biology, neuroscience, chemistry, things like that is that you get paid to be a graduate student. So I signed up for five more years of college, but I also signed a contract. So Im getting paid for these five years and Im not paying my tuition, I never see a bill for my tuition. So Im getting a phd for free and theyre paying me and theyre paying me because Im doing really important work for the university. Im doing really important research and I also teach classes as part of that stipend that I earn. So I teach classes in the undergraduate psychology department at Rutgers, which is really great experience because I was 22 when I graduated college. So I was teaching other 22 year olds at 22. Im 25 now. So Im like teaching my peers basically. Um And teaching is something that Im comfortable in. Its an experience that I think Im good at, but its not necessarily what I really want. I really like being in the lab. I really like my research. I think its very rewarding. Im seeing my education pay off every day. Um And grad school is really great because obviously I like learning if I was gonna sign up for five more years of school and in high school, they want you to be a really well rounded student in college, you have to take gen EDS. So youre a well rounded student. But grad school is where you pick what you want to study, what youre interested in. And so, like I said, Im really interested in drugs and behavior. Um, if you were interested in another facet of psychology or neuroscience or any other topic, you study what you want to study. And so Im currently researching the effects of chronic opioid abuse on how your immune system functions and how your immune system communicates with your brain. And I think its really super cool. Um But theres so many other things you can do. I know, not everyone loves playing with brains, but I get to go and I get to slice brains and I stain brains and I look at the cells and I see the impact of the treatment that I did on them. Um And I really love my research. So I think if, if you can take any sort of opportunity, if you kind of like science and things like that, any opportunity to get you, I dont know any kind of experience in college or anything like that, that would be my advice. But also other advice, even if you dont wanna go on like necessarily a research route, but you want to do like the health care sort of field um would be to not underestimate yourself as a student or an applicant. I compared myself to everyone. I compared my grades, I compared my experiences, you know, my extracurricular activities because I felt like I wasnt a perfect applicant and honestly, that did hold me back from applying to maybe programs or schools that I wanted to. Um because I just couldnt get myself to do it and I missed the deadline. Um, but looking back, I had my own unique experience and everyone has a unique experience and it was, its like comparing apples and oranges. Um, so dont let your grades get you down. Like I had a couple Cs um Doctor Coulson had ad, you know, um you can bounce back from it and its not sort of like the end of the world. Um So I guess that was my trajectory a day in my life. It really kind of depends as a grad student. My first two years, I was taking classes while working in the lab. Now I am done taking classes. I never have to take class again, which is wonderful. Um And it really kind of depends on where my experiment is because I am in charge of project management. I do personnel management. I do finance management. I really run my lab and Im in charge of making sure everything gets done. So right now, I am currently staining brain tissue. I had rats um self administer fentaNYL, a really, really strong opioid, they self administered fentaNYL. And then I am looking at certain immune cells in the brain to see how they responded to that treatment. So I spend my days staining cells, Ill be imaging cells. Ill be counting cells. Im also working on publishing some of my data, so Ill be a published author soon. So Im writing up papers. Um I enjoy writing. So writing, I mean, its a very tedious task, but I like it in the end. Writing is something Im good at, so I enjoy doing that. Um So my, my day to day it, its very casual, its very casual in the lab. Um And in terms of a work life balance with grad school, unfortunately, its kind of expected that you spend all your time in the lab, you spend a lot of time doing your schoolwork, doing your research. Thats not to say that you cant accomplish a healthy work life balance. Thats something that I really pride myself on. I just like, feel deep in my bones that I will not like give my life up for my work for my education or anything. I think there has to be a place for a healthy work life balance. So I fully feel like I do achieve it. I do have really early mornings and really late nights sometimes. Um, but I make sure that I have most of my weekends, I make sure that after dinner I have my free time because its not like Im studying for exams anymore. I feel this really feels like a job like I am a neuroscientist. And so I want to treat it like a job because Ive been in school since I was five. Im 25 now. So its been 20 years and Im getting a little tired of feeling like a student. So Im trying to do things that make me feel like an adult because I am an adult even though Im still a student. Um, so its sort of like a weird transition. Um But yeah, I hope that answered the task there."
